name,color
type: epic,5319e7
type: feature,1d76db
type: task,0e8a16
type: documentation,0075ca
type: research,d4c5f9
type: bug,d73a4a
area: accounts,c2e0c6
area: friends,c2e0c6
area: notifications,c2e0c6
area: units,c2e0c6
area: forces,c2e0c6
area: campaigns,c2e0c6
area: battles,c2e0c6
area: objectives,c2e0c6
area: resources,c2e0c6
area: repairs,c2e0c6
area: conquest,c2e0c6
area: leaderboards,c2e0c6
area: api,c2e0c6
area: database,c2e0c6
area: ui,c2e0c6
area: docs,c2e0c6
priority: high,b60205
priority: medium,fbca04
priority: low,0e8a16
phase: mvp,0052cc
phase: v1,5319e7
phase: stretch,d4c5f9
