rawName,normalizedName,occurrences,unitExamples,resolutionStatus,chosenWeaponId,chosenWeaponName,chosenTechBase,candidateWeaponIds,suggestion
ER Medium Laser,ermediumlaser,2693,Black Hawk E; Black Hawk F; Black Hawk Prime; Black Knight BL-6-RR; Caesar CES-4R; Cataphract CTF-3LL; Cataphract CTF-5D; Catapult CPLT-K2K,matched,is_er_medium_laser,ER Medium Laser,Inner Sphere,is_er_medium_laser; clan_er_medium_laser,
Medium Laser,mediumlaser,1826,Archer ARC-2R; Archer ARC-2S; Archer ARC-2W; Assassin ASN-101; Assassin ASN-21; Atlas AS7-D-DC; Atlas AS7-D; Banshee BNC-3M,matched,is_medium_laser,Medium Laser,Inner Sphere,is_medium_laser,
Medium Pulse Laser,mediumpulselaser,1299,Annihilator ANH-2A; Atlas AS7-C; Atlas AS7-CM; Black Hawk A; Black Hawk S; Caesar CES-3R 'Archangel'; Caesar CES-3R; Caesar CES-3S,ambiguous,,,,is_medium_pulse_laser; clan_medium_pulse_laser,
ER Small Laser,ersmalllaser,821,Black Hawk B; Caesar CES-3S; Crockett CRK-5004-1; Daishi B; Daishi D; Daishi (Hohiro); Daishi W; Daishi 'Widowmaker',ambiguous,,,,is_er_small_laser; clan_er_small_laser,
ER Large Laser,erlargelaser,775,Lancelot LNC25-01X; Zeus ZEU-5S; Zeus ZEU-5T; Atlas AS7-C; Atlas AS7-CM; Crockett CRK-5003-1; Crockett CRK-5004-1; Daishi Prime,ambiguous,,,,is_er_large_laser; clan_er_large_laser,
ER PPC,erppc,737,Zeus ZEU-5T; Awesome AWS-9Ma; Banshee BNC-5S (Sawyer); Banshee BNC-5S (Vandergriff); Black Hawk A; Black Knight BL-6-RR; Caesar CES-3R 'Archangel'; Caesar CES-3R,ambiguous,,,,is_er_ppc; clan_er_ppc,
Machine Gun,machinegun,697,BattleMaster BLR-1D; BattleMaster BLR-1G-DC; BattleMaster BLR-1G; Bombardier BMB-10D; Catapult CPLT-K2; Cicada CDA-3C; Crusader CRD-3L; Crusader CRD-3R,matched,is_machine_gun,Machine Gun,Inner Sphere,is_machine_gun; clan_machine_gun,
SRM 6,srm6,475,Atlas AS7-D-DC; Atlas AS7-D; Banshee BNC-3S; BattleMaster BLR-1G-DC; BattleMaster BLR-1G; Catapult CPLT-C1 (Jenny) 'Butterbee'; Champion CHP-1N2; Champion CHP-2N,matched,is_srm_6,SRM 6,Inner Sphere,is_srm_6; clan_srm_6,
Large Pulse Laser,largepulselaser,397,Axman AXM-1N; Axman AXM-2N; Black Hawk B; Daishi A; Daishi (Hohiro); Daishi 'Prometheus'; Daishi S; Daishi 'Widowmaker',matched,clan_large_pulse_laser,Large Pulse Laser,Clan,is_large_pulse_laser; is_large_xpulse_laser; clan_large_pulse_laser,
LRM 15,lrm15,382,Archer ARC-2K; Archer ARC-2S; Atlas AS7-RS; Awesome AWS-8R; Awesome AWS-8T; Awesome AWS-8V; BattleMaster BLR-1S; Catapult CPLT-A1,ambiguous,,,,is_lrm_15; clan_lrm_15,
