rawName,normalizedName,occurrences,unitExamples,resolutionStatus,chosenWeaponId,chosenWeaponName,chosenTechBase,candidateWeaponIds,suggestion
ER Medium Laser,ermediumlaser,2317,Black Hawk E; Black Hawk F; Black Hawk Prime; Black Knight BL-6-RR; Caesar CES-4R; Cataphract CTF-3LL; Cataphract CTF-5D; Catapult CPLT-K2K,ambiguous,,,,is_er_medium_laser; clan_er_medium_laser,
Medium Laser,mediumlaser,1616,Archer ARC-2R; Archer ARC-2S; Archer ARC-2W; Assassin ASN-101; Assassin ASN-21; Atlas AS7-D-DC; Atlas AS7-D; Banshee BNC-3M,matched,is_medium_laser,Medium Laser,Inner Sphere,is_medium_laser,
Medium Pulse Laser,mediumpulselaser,1186,Annihilator ANH-2A; Atlas AS7-C; Atlas AS7-CM; Black Hawk A; Black Hawk S; Caesar CES-3R 'Archangel'; Caesar CES-3R; Caesar CES-3S,ambiguous,,,,is_medium_pulse_laser; clan_medium_pulse_laser,
ER Large Laser,erlargelaser,691,Lancelot LNC25-01X; Zeus ZEU-5S; Zeus ZEU-5T; Atlas AS7-C; Atlas AS7-CM; Crockett CRK-5003-1; Crockett CRK-5004-1; Daishi Prime,ambiguous,,,,is_er_large_laser; clan_er_large_laser,
ER Small Laser,ersmalllaser,681,Black Hawk B; Caesar CES-3S; Crockett CRK-5004-1; Daishi B; Daishi D; Daishi (Hohiro); Daishi W; Daishi 'Widowmaker',ambiguous,,,,is_er_small_laser; clan_er_small_laser,
ER PPC,erppc,664,Zeus ZEU-5T; Awesome AWS-9Ma; Banshee BNC-5S (Sawyer); Banshee BNC-5S (Vandergriff); Black Hawk A; Black Knight BL-6-RR; Caesar CES-3R 'Archangel'; Caesar CES-3R,ambiguous,,,,is_er_ppc; clan_er_ppc,
Machine Gun,machinegun,615,BattleMaster BLR-1D; BattleMaster BLR-1G-DC; BattleMaster BLR-1G; Bombardier BMB-10D; Catapult CPLT-K2; Cicada CDA-3C; Crusader CRD-3L; Crusader CRD-3R,matched,is_machine_gun,Machine Gun,Inner Sphere,is_machine_gun; clan_machine_gun,
SRM 6,srm6,416,Atlas AS7-D-DC; Atlas AS7-D; Banshee BNC-3S; BattleMaster BLR-1G-DC; BattleMaster BLR-1G; Catapult CPLT-C1 (Jenny) 'Butterbee'; Champion CHP-1N2; Champion CHP-2N,matched,is_srm_6,SRM 6,Inner Sphere,is_srm_6; clan_srm_6,
LRM 15,lrm15,350,Archer ARC-2K; Archer ARC-2S; Atlas AS7-RS; Awesome AWS-8R; Awesome AWS-8T; Awesome AWS-8V; BattleMaster BLR-1S; Catapult CPLT-A1,ambiguous,,,,is_lrm_15; clan_lrm_15,
Large Pulse Laser,largepulselaser,349,Axman AXM-1N; Axman AXM-2N; Black Hawk B; Daishi A; Daishi (Hohiro); Daishi 'Prometheus'; Daishi S; Daishi 'Widowmaker',matched,is_large_pulse_laser,Large Pulse Laser,Inner Sphere,is_large_pulse_laser; is_large_xpulse_laser; clan_large_pulse_laser,
Gauss Rifle,gaussrifle,318,Atlas AS7-C; Atlas AS7-CM; Banshee BNC-5S (Sawyer); Black Hawk C; Caesar CES-3R 'Archangel'; Caesar CES-3R; Caesar CES-3S; Caesar CES-4R,matched,is_gauss_rifle,Gauss Rifle,Inner Sphere,is_gauss_rifle; clan_gauss_rifle,
Small Laser,smalllaser,311,Assassin ASN-101; Awesome AWS-8Q; Awesome AWS-8R; Awesome AWS-8T; Awesome AWS-8V; Banshee BNC-3E; Banshee BNC-3M; Banshee BNC-3MC,matched,is_small_laser,Small Laser,Inner Sphere,is_small_laser,
ISMediumLaser,ismediumlaser,308,Mercury MCY-98; Annihilator ANH-1A; Atlas AS7-S; Banshee BNC-5S; Banshee BNC-8S; Black Knight BL-6b-KNT; Blackjack BJ-3; Cataphract CTF-3D,matched,is_medium_laser,Medium Laser,Inner Sphere,is_medium_laser,
Streak SRM 6,streaksrm6,288,Daishi A; Daishi D; Daishi (Hohiro); Dragonfly D; King Crab KGC-007; Koshi H; Loki Prime; Mad Cat A,matched,clan_streak_srm_6,Streak SRM 6,Clan,is_streak_srm_6; clan_streak_srm_6,
LRM 10,lrm10,278,Banshee BNC-3S (Reinesblatt); Centurion CN9-A; Centurion CN9-AH; Centurion CN9-AL; Crusader CRD-3K; Crusader CRD-3L; Cyclops CP-10-HQ; Cyclops CP-10-Q,matched,is_lrm_10,LRM 10,Inner Sphere,is_lrm_10; clan_lrm_10,
Large Laser,largelaser,263,Archer ARC-2K; Atlas AS7-RS; Awesome AWS-8R; Awesome AWS-8T; Awesome AWS-8V; Banshee BNC-3S (Reinesblatt); Black Knight BL-7-KNT-L; Black Knight BL-7-KNT,matched,is_large_laser,Large Laser,Inner Sphere,is_large_laser,
SRM 4,srm4,263,Archer ARC-2S; Archer ARC-2W; Atlas AS7-RS; Bombardier BMB-10D; Cataphract CTF-2X; Commando COM-2D; Crusader CRD-3D; Crusader CRD-3L,matched,is_srm_4,SRM 4,Inner Sphere,is_srm_4; clan_srm_4,
Small Pulse Laser,smallpulselaser,263,Awesome AWS-9Q (Klatt); Black Hawk C; Catapult CPLT-C4C; Dragonfly B; Dragonfly H; Fenris B; Gladiator D; Mad Cat B,matched,is_small_pulse_laser,Small Pulse Laser,Inner Sphere,is_small_pulse_laser; clan_small_pulse_laser,
ISERMediumLaser,isermediumlaser,249,Annihilator ANH-3A; Assassin ASN-30; Banshee BNC-7S; Banshee BNC-8S; Black Knight BL-12-KNT; Blackjack BJ-4; Caesar CES-3R (Gertrude); Caesar CES-4S,matched,is_er_medium_laser,ER Medium Laser,Inner Sphere,is_er_medium_laser; clan_er_medium_laser,
LRM 20,lrm20,245,Archer ARC-2R; Archer ARC-2W; Atlas AS7-D-DC; Atlas AS7-D; Bombardier BMB-10D; Catapult CPLT-C4; Charger CGR-1A9; Highlander HGN-733,matched,clan_lrm_20,LRM 20,Clan,is_lrm_20; clan_lrm_20,
Flamer,flamer,243,Blackjack BJ-1X; Cicada CDA-2B; Commando COM-3A; Firestarter FS9-A; Firestarter FS9-H; Firestarter FS9-K; Flashman FLS-7K; Flea FLE-15,matched,is_flamer,Flamer,Inner Sphere,is_flamer; clan_flamer,
Light PPC,lightppc,234,Grasshopper GHR-7K 'Gravedigger'; Grasshopper GHR-7K; King Crab KGC-007; Wolfhound WLF-4W; Battle Cobra BTL-C-2OD; Black Hawk-KU BHKU-OF; Blackjack BJ2-OX; Owens OW-1F,matched,is_light_ppc,Light PPC,Inner Sphere,is_light_ppc,
LRM 5,lrm5,228,Assassin ASN-101; Assassin ASN-21; BattleMaster BLR-1S; Grasshopper GHR-5H; Griffin GRF-1S; Hornet HNT-151; Hunchback HBK-4N; Kintaro KTO-18,matched,is_lrm_5,LRM 5,Inner Sphere,is_lrm_5; clan_lrm_5,
ISMediumPulseLaser,ismediumpulselaser,171,Assassin ASN-23; Atlas AS7-K; Awesome AWS-9M; Caesar CES-4S; Cataphract CTF-3L; Catapult CPLT-K5; Centurion CN9-YLW2 'Yen Lo Wang'; Charger CGR-3K,matched,is_medium_pulse_laser,Medium Pulse Laser,Inner Sphere,is_medium_pulse_laser; clan_medium_pulse_laser,
Streak SRM 2,streaksrm2,164,Commando COM-5S; Fenris Prime; Puma D; Bandersnatch BNDR-01B; Battle Hawk BH-K305; Fireball ALM-7D; Fireball ALM-9D; Hercules HRC-LS-9000,matched,clan_streak_srm_2,Streak SRM 2,Clan,is_streak_srm_2; clan_streak_srm_2,
PPC,ppc,159,Awesome AWS-8Q; Awesome AWS-8V; Banshee BNC-3E; Banshee BNC-3M; Banshee BNC-3MC; Banshee BNC-3S; BattleMaster BLR-1D; BattleMaster BLR-1G-DC,matched,is_ppc,PPC,Inner Sphere,is_ppc,
Heavy Medium Laser,heavymediumlaser,153,Black Hawk H; Dasher K; Dragonfly G; Dragonfly H; Dragonfly I; Fenris H; Gladiator E; Gladiator P,matched,clan_heavy_medium_laser,Heavy Medium Laser,Clan,clan_heavy_medium_laser,
Improved Heavy Medium Laser,improvedheavymediumlaser,151,Parash 2; Loki Mk II A; Wulfen H; Vulture Mk IV D; Balius E; Hellion G; Mad Cat Mk II 5; Malice MAL-XV,matched,clan_improved_heavy_medium_laser,Improved Heavy Medium Laser,Clan,clan_improved_heavy_medium_laser,
LB 10-X AC,lb10xac,150,Champion CHP-1N2; King Crab KGC-010; Annihilator ANH-2A; Banshee BNC-5S (Vandergriff); Cataphract CTF-3LL; Centurion CN10-B; Crockett CRK-5003-1; Crockett CRK-5004-1,matched,is_lb_10_x_ac,LB 10-X AC,Inner Sphere,is_lb_10_x_ac; clan_lb_10_x_ac,
Streak SRM 4,streaksrm4,150,Cyclops CP-11-G; Cyclops CP-12-K; Daishi S; Dasher A; Koshi Prime; Uller Prime; Uller S; Battle Hawk BH-K306,ambiguous,,,,is_streak_srm_4; clan_streak_srm_4,
AP Gauss Rifle,apgaussrifle,150,Dasher F; Dragonfly G; Fenris L; Mad Cat F; Man O' War G; Puma J; Ryoken F; Thor HH,matched,clan_ap_gauss_rifle,AP Gauss Rifle,Clan,clan_ap_gauss_rifle,
Rocket Launcher 10,rocketlauncher10,125,Firestarter FS9-C; Cossack C-1FC; Hauptmann HA1-OD; Archer ARC-6W; Goliath GOL-2H; Locust LCT-1V2; Locust LCT-5V; Marauder II MAD-4H,matched,is_rocket_launcher_10,Rocket Launcher 10,Inner Sphere,is_rocket_launcher_10,
Snub-Nose PPC,snubnoseppc,123,Awesome AWS-10KM; Caesar CES-4R; Grasshopper GHR-7K 'Gravedigger'; Grasshopper GHR-7K; Mauler MAL-1K; Shogun SHG-2F (Trisha); Sunder SD1-OE; Bishamon BSN-5KC,matched,is_snub_nose_ppc,Snub-Nose PPC,Inner Sphere,is_snub_nose_ppc,
Heavy PPC,heavyppc,121,Awesome AWS-10KM; Caesar CES-3S; Guillotine GLT-6WB3; King Crab KGC-008B; Zeus ZEU-10WB; Avatar AV1-OH; Black Hawk-KU BHKU-OF; Black Watch BKW-9R,matched,is_heavy_ppc,Heavy PPC,Inner Sphere,is_heavy_ppc,
ER Micro Laser,ermicrolaser,118,Koshi P; Man O' War E; Behemoth 3; Pouncer E; Vixen 4; Grizzly 2; Piranha 2; Piranha 3,matched,clan_er_micro_laser,ER Micro Laser,Clan,clan_er_micro_laser,
Light Machine Gun,lightmachinegun,116,Dasher K; Wolf Trap (Tora) WFT-2; Hellhound 4; Vixen 5; Crossbow H; Marshal MHL-6MC; Men Shen MS1-OE; Wyvern IIC 2,matched,is_light_machine_gun,Light Machine Gun,Inner Sphere,is_light_machine_gun; clan_light_machine_gun,
SRM 2,srm2,113,Assassin ASN-101; Assassin ASN-21; BattleMaster BLR-1S; Dervish DV-6M; Locust LCT-1S; Sentinel STN-3K; Sentinel STN-3KA; Sentinel STN-3KB,matched,is_srm_2,SRM 2,Inner Sphere,is_srm_2; clan_srm_2,
AMS,ams,104,Black Hawk S; Daishi A; Dasher A; Dasher C; Dragonfly H; Dragonfly I; Fenris A; Fenris D,matched,is_anti_missile_system,Anti-Missile System,Inner Sphere,is_anti_missile_system,
Micro Pulse Laser,micropulselaser,103,Koshi P; Loki D; Puma E; Phantom E; Vixen 4; Piranha 3; Crimson Langur C; Goshawk II 2,matched,clan_micro_pulse_laser,Micro Pulse Laser,Clan,clan_micro_pulse_laser,
Ultra AC/10,ultraac10,102,Cyclops CP-12-K; Hatchetman HCT-5D; Man O' War H; Masakari D; Uller B; Bandersnatch BNDR-01B; Behemoth 4; Pouncer C,matched,clan_ultra_ac_10,Ultra AC/10,Clan,is_ultra_ac_10; clan_ultra_ac_10,
Plasma Rifle,plasmarifle,100,Cataphract CTF-3LL; Cataphract CTF-5D; King Crab KGC-007; Wolf Trap (Tora) WFT-2; Battle Cobra BTL-C-2OF; Raptor RTX1-OG; Buccaneer BCN-5W; Garm GRM-01A2,matched,is_plasma_rifle,Plasma Rifle,Inner Sphere,is_plasma_rifle,
TAG,tag,90,Raven RVN-3L; Anvil ANV-6M; Hitman HM-1; Komodo KIM-2; Komodo KIM-2A; Nexus II NXS2-B; Raijin II RJN-200-B; Scarabus SCB-9A,matched,is_tag,TAG,Inner Sphere,is_tag; clan_tag,
Heavy Small Laser,heavysmalllaser,82,Dasher H; Gladiator E; Koshi F; Koshi H; Loki H; Thor G; Behemoth 2; Phantom H,matched,clan_heavy_small_laser,Heavy Small Laser,Clan,clan_heavy_small_laser,
Heavy Large Laser,heavylargelaser,78,Daishi H; Gladiator H; Loki H; Mad Cat H; Man O' War H; Masakari H; Puma H; Ryoken H,matched,clan_heavy_large_laser,Heavy Large Laser,Clan,clan_heavy_large_laser,
ATM 6,atm6,77,Daishi C; Dasher E; Dragonfly E; Koshi E; Loki C; Thor E; Goshawk 4; Hellhound 5,matched,clan_atm_6,ATM 6,Clan,clan_atm_6,
Medium X-Pulse Laser,mediumxpulselaser,77,Marauder II MAD-6M; Dragon II DRG-11K; Black Hawk-KU BHKU-OG; Cuirass CDR-2BC; Hauptmann HA1-OF; Maelstrom MTR-7K; Marauder MAD-9D; Men Shen MS1-OG,matched,is_medium_xpulse_laser,Medium X-Pulse Laser,Inner Sphere,is_medium_xpulse_laser,
ISERPPC,iserppc,74,Awesome AWS-9M; Banshee BNC-5S; Banshee BNC-7S; Black Knight BL-12-KNT; Black Knight BL-6b-KNT; Caesar CES-3R (Gertrude); Cataphract CTF-3L; Cataphract CTF-4L,matched,is_er_ppc,ER PPC,Inner Sphere,is_er_ppc; clan_er_ppc,
Ultra AC/5,ultraac5,73,Zeus ZEU-5S; Black Hawk B; Daishi Prime; JagerMech JM7-D; Loki A; Loki H; Mad Cat C; Puma D,matched,is_ultra_ac_5,Ultra AC/5,Inner Sphere,is_ultra_ac_5; clan_ultra_ac_5,
MML 5,mml5,73,Trebuchet TBT-8B; Buccaneer BCN-6W; Hauptmann HA1-OE; Yeoman YMN-10-OR; Yu Huang Y-H11G; Firebee FRB-3E; Gladiator GLD-1R (Keller); Gladiator GLD-5R,matched,is_mml_5,MML 5,Inner Sphere,is_mml_5,
ISSmallLaser,issmalllaser,71,Mercury MCY-98; Awesome AWS-9Q; Banshee BNC-5S; Banshee BNC-6S; Banshee BNC-8S; Black Knight BL-6b-KNT; Bombardier BMB-05A; Champion CHP-1N,matched,is_small_laser,Small Laser,Inner Sphere,is_small_laser,
ISERLargeLaser,iserlargelaser,71,Atlas AS7-K; Atlas AS7-S2; Banshee BNC-8S; Blackjack BJ-2; Cicada CDA-3G; Clint CLNT-5U; Clint CLNT-6S; Crab CRB-45,matched,is_er_large_laser,ER Large Laser,Inner Sphere,is_er_large_laser; clan_er_large_laser,
Plasma Cannon,plasmacannon,71,Dragonfly G; Fenris L; Gladiator P; Loki D; Masakari E; Ryoken F; Thor HH; Grendel F,matched,clan_plasma_cannon,Plasma Cannon,Clan,clan_plasma_cannon,
MML 7,mml7,71,Strider SR1-OG; Arctic Fox AF1F; Barghest BGS-7S; Black Watch BKW-9R; Initiate INI-04; Viking VKG-3A; BattleAxe BKX-8D; Deva C-DVA-OA Dominus,matched,is_mml_7,MML 7,Inner Sphere,is_mml_7,
Ultra AC/2,ultraac2,65,Daishi B; Koshi D; Mauler MAL-2R; Cauldron-Born C; Fire Falcon A; Night Gyr C; Nobori-nin Prime; Great Wyrm Wyrm,matched,clan_ultra_ac_2,Ultra AC/2,Clan,is_ultra_ac_2; clan_ultra_ac_2,
Rotary AC/5,rotaryac5,65,Hatchetman HCT-6D; Hermes II HER-6D; King Crab KGC-007; Orion ON1-MD; Rakshasa MDG-2A; Emperor EMP-6D; Excalibur EXC-D1; Garm GRM-01C,matched,is_rotary_ac_5,Rotary AC/5,Inner Sphere,is_rotary_ac_5,
ISGuardianECM,isguardianecm,63,Assassin ASN-99; Atlas AS7-S2; Awesome AWS-9Q; Banshee BNC-8S; Cataphract CTF-4L; Crab CRB-30; Firefly FFL-4DA; Flea FLE-20,matched,is_guardian_ecm_suite,Guardian ECM Suite,Inner Sphere,is_guardian_ecm_suite,
LB 20-X AC,lb20xac,62,Daishi S; Hunchback HBK-6S; Loki C; Man O' War G; Thunder THR-2L; Avatar AV1-OF; Bushwacker BSW-L1; Cestus CTS-7A,matched,clan_lb_20_x_ac,LB 20-X AC,Clan,is_lb_20_x_ac; clan_lb_20_x_ac,
Heavy Machine Gun,heavymachinegun,62,Dragonfly F; Koshi G; Crossbow C; Buccaneer BCN-5W; Locust IIC 6; Phoenix Hawk L 'Fenikkusu Taka' PXH-11K; Stalking Spider II II; Stinger STG-6R,matched,clan_heavy_machine_gun,Heavy Machine Gun,Clan,is_heavy_machine_gun; clan_heavy_machine_gun,
ATM 9,atm9,60,Fenris E; Gladiator E; Mad Cat E; Masakari D; Puma E; Ryoken E; Behemoth 3; Hellhound 2,matched,clan_atm_9,ATM 9,Clan,clan_atm_9,
HAG/20,hag20,58,Black Hawk F; Gladiator K; Loki E; Man O' War M; Puma J; Ryoken G; Thor HH; Uller F,matched,clan_hyper_assault_gauss_20,Hyper-Assault Gauss 20,Clan,clan_hyper_assault_gauss_20,
