id,unitType,chassis,model,name,fileName,relativePath,tonnage,weightClass,bv,costCBills,techBase,rulesLevel,year,era,role
meks-meks-xtrs-risc-battle-tripod-r-h3l-2x,meks,'Battle Tripod',R/H3L-2X,'Battle Tripod','Battle Tripod' R_H3L-2X.mtf,meks/XTRs/RISC/'Battle Tripod' R_H3L-2X.mtf,60,Heavy,,,Mixed,Experimental,3134,Dark Age,Brawler
meks-meks-jihad-final-reckoning-gestalt-d2x-g,meks,'Gestalt',D2X-G,'Gestalt','Gestalt' D2X-G.mtf,meks/Jihad Final Reckoning/'Gestalt' D2X-G.mtf,45,Medium,,,Inner Sphere,Experimental,3078,Jihad,Striker
meks-meks-xtrs-risc-harvester-tripod-r-h3l-3x,meks,'Harvester Tripod',R/H3L-3X,'Harvester Tripod','Harvester Tripod' R_H3L-3X.mtf,meks/XTRs/RISC/'Harvester Tripod' R_H3L-3X.mtf,90,Assault,,,Mixed,Experimental,3136,Dark Age,Sniper
meks-meks-xtrs-risc-scout-tripod-r-h3l-1x,meks,'Scout Tripod',R/H3L-1X,'Scout Tripod','Scout Tripod' R_H3L-1X.mtf,meks/XTRs/RISC/'Scout Tripod' R_H3L-1X.mtf,30,Light,,,Mixed,Advanced,3132,Dark Age,Scout
meks-meks-shrapnel-vol-17-wing-wraith-tr4,meks,'Wing' Wraith,TR4,'Wing' Wraith,Wing Wraith TR4.mtf,meks/Shrapnel/Vol 17/Wing Wraith TR4.mtf,55,Medium,,,Inner Sphere,Advanced,3150,Dark Age,
meks-meks-shrapnel-vol-17-wing-wraith-tr4-x,meks,'Wing' Wraith,TR4-X,'Wing' Wraith,Wing Wraith TR4-X.mtf,meks/Shrapnel/Vol 17/Wing Wraith TR4-X.mtf,55,Medium,,,Inner Sphere,Advanced,3150,Dark Age,
meks-meks-shrapnel-vol-17-wing-wraith-tr6,meks,'Wing' Wraith,TR6,'Wing' Wraith,Wing Wraith TR6.mtf,meks/Shrapnel/Vol 17/Wing Wraith TR6.mtf,55,Medium,,,Inner Sphere,Advanced,3150,Dark Age,
meks-meks-shrapnel-vol-17-wing-wraith-tr7,meks,'Wing' Wraith,TR7,'Wing' Wraith,Wing Wraith TR7.mtf,meks/Shrapnel/Vol 17/Wing Wraith TR7.mtf,55,Medium,,,Mixed,Advanced,3150,Dark Age,
meks-meks-dark-age-agrotera-agt-1a,meks,Agrotera,AGT-1A,Agrotera,Agrotera AGT-1A.mtf,meks/Dark Age/Agrotera AGT-1A.mtf,50,Medium,,,Inner Sphere,Advanced,3108,Republic,Striker
meks-meks-xtrs-royal-fantasy-agrotera-agt-ua-ariel,meks,Agrotera,AGT-UA 'Ariel',Agrotera,Agrotera AGT-UA _Ariel_.mtf,meks/XTRs/Royal Fantasy/Agrotera AGT-UA _Ariel_.mtf,50,Medium,,,Mixed,Advanced,3137,Dark Age,Striker
meks-meks-3067-akuma-aku-1x,meks,Akuma,AKU-1X,Akuma,Akuma AKU-1X.mtf,meks/3067/Akuma AKU-1X.mtf,90,Assault,,,Inner Sphere,Standard,3058,Clan Invasion,Juggernaut
meks-meks-3067-akuma-aku-1xj,meks,Akuma,AKU-1XJ,Akuma,Akuma AKU-1XJ.mtf,meks/3067/Akuma AKU-1XJ.mtf,90,Assault,,,Inner Sphere,Standard,3064,Civil War,Juggernaut
meks-meks-3067-unabridged-is-meks-akuma-aku-2x,meks,Akuma,AKU-2X,Akuma,Akuma AKU-2X.mtf,meks/3067 Unabridged/IS Meks/Akuma AKU-2X.mtf,90,Assault,,,Inner Sphere,Advanced,3071,Jihad,Juggernaut
meks-meks-3085u-onn-akuma-aku-2xc,meks,Akuma,AKU-2XC,Akuma,Akuma AKU-2XC.mtf,meks/3085u/ONN/Akuma AKU-2XC.mtf,90,Assault,,,Inner Sphere,Experimental,3077,Jihad,Juggernaut
meks-meks-3067-unabridged-is-meks-akuma-aku-2xk,meks,Akuma,AKU-2XK,Akuma,Akuma AKU-2XK.mtf,meks/3067 Unabridged/IS Meks/Akuma AKU-2XK.mtf,90,Assault,,,Inner Sphere,Standard,3083,Republic,Juggernaut
meks-meks-3055u-albatross-alb-3u,meks,Albatross,ALB-3U,Albatross,Albatross ALB-3U.mtf,meks/3055U/Albatross ALB-3U.mtf,95,Assault,,,Inner Sphere,Standard,3053,Clan Invasion,Brawler
meks-meks-3085u-onn-albatross-alb-3ur,meks,Albatross,ALB-3Ur,Albatross,Albatross ALB-3Ur.mtf,meks/3085u/ONN/Albatross ALB-3Ur.mtf,95,Assault,,,Inner Sphere,Standard,3076,Jihad,Brawler
