id,unitType,chassis,model,name,fileName,relativePath,tonnage,weightClass,bv,bvSource,costCBills,costSource,techBase,rulesLevel,year,era,role,source,walkMP,runMP,jumpMP,engineRating,engineType,gyroType,cockpitType,heatSinkCount,heatSinkType,armorType,structureType,armorPoints,armorTonnage,weaponCount,weaponSummary,warnings
meks-meks-3145-merc-koshi-standard-2,meks,Koshi (Standard),2,Koshi (Standard) 2,Koshi (Standard) 2.mtf,meks/3145/Merc/Koshi (Standard) 2.mtf,25,Light,948,calculated,3594583,calculated,Clan,Standard,3095,Republic,Striker,TR:3145:Merc,7,11,6,175,XL Fusion,Standard,Standard,10,Double,Ferro-Fibrous(Clan),Endo Steel,67,3.5,3,2x Streak SRM 6; Light TAG,
meks-meks-3145-merc-koshi-standard-3,meks,Koshi (Standard),3,Koshi (Standard) 3,Koshi (Standard) 3.mtf,meks/3145/Merc/Koshi (Standard) 3.mtf,25,Light,777,calculated,4545833,calculated,Clan,Standard,3095,Republic,Scout,TR:3145:Merc,7,14,6,175,XL Fusion,Standard,Standard,11,Double,Ferro-Fibrous(Clan),Endo Steel,67,3.5,7,Light TAG; 6x Heavy Small Laser,
meks-meks-3050u-koshi-mist-lynx-a,meks,Koshi,A,Koshi A,Koshi (Mist Lynx) A.mtf,meks/3050U/Koshi (Mist Lynx) A.mtf,25,Light,565,calculated,4790885,calculated,Clan,Standard,2926,Succession Wars,Scout,TR:3050,7,11,6,175,XL Fusion,Standard,Standard,10,Double,Ferro-Fibrous(Clan),Clan Endo Steel,67,3.5,6,TAG; 2x Anti-Missile System; Flamer; 2x Machine Gun,
meks-meks-3050u-koshi-mist-lynx-b,meks,Koshi,B,Koshi B,Koshi (Mist Lynx) B.mtf,meks/3050U/Koshi (Mist Lynx) B.mtf,25,Light,1209,calculated,4807682,calculated,Clan,Standard,2926,Succession Wars,Striker,TR:3050,7,11,6,175,XL Fusion,Standard,Standard,10,Double,Ferro-Fibrous(Clan),Clan Endo Steel,67,3.5,5,2x ER Medium Laser; 2x SRM 6; ER Small Laser,
meks-meks-3050u-koshi-mist-lynx-c,meks,Koshi,C,Koshi C,Koshi (Mist Lynx) C.mtf,meks/3050U/Koshi (Mist Lynx) C.mtf,25,Light,1305,calculated,5196354,calculated,Clan,Standard,2926,Succession Wars,Striker,TR:3050,7,11,6,175,XL Fusion,Standard,Standard,10,Double,Ferro-Fibrous(Clan),Clan Endo Steel,67,3.5,3,Anti-Missile System; ER Large Laser; ER Medium Laser,
meks-meks-3050u-koshi-mist-lynx-d,meks,Koshi,D,Koshi D,Koshi (Mist Lynx) D.mtf,meks/3050U/Koshi (Mist Lynx) D.mtf,25,Light,842,calculated,4615104,calculated,Clan,Standard,2926,Succession Wars,Striker,TR:3050,7,11,6,175,XL Fusion,Standard,Standard,10,Double,Ferro-Fibrous(Clan),Clan Endo Steel,67,3.5,3,Ultra AC/2; ER Medium Laser; ER Small Laser,
meks-meks-3050u-koshi-mist-lynx-e,meks,Koshi,E,Koshi E,Koshi (Mist Lynx) E.mtf,meks/3050U/Koshi (Mist Lynx) E.mtf,25,Light,997,calculated,4555729,calculated,Clan,Standard,3054,Clan Invasion,Striker,TR:3050,7,11,6,175,XL Fusion,Standard,Standard,10,Double,Ferro-Fibrous(Clan),Clan Endo Steel,67,3.5,5,ATM 6; 4x ER Small Laser,
meks-meks-3050u-koshi-mist-lynx-f,meks,Koshi,F,Koshi F,Koshi (Mist Lynx) F.mtf,meks/3050U/Koshi (Mist Lynx) F.mtf,25,Light,1173,calculated,5258854,calculated,Clan,Standard,3063,Civil War,Scout,TR:3050,7,11,6,175,XL Fusion,Standard,Standard,10,Double,Ferro-Fibrous(Clan),Clan Endo Steel,67,3.5,8,3x Heavy Medium Laser; 4x Heavy Small Laser; Light TAG,
meks-meks-3050u-koshi-mist-lynx-g,meks,Koshi,G,Koshi G,Koshi (Mist Lynx) G.mtf,meks/3050U/Koshi (Mist Lynx) G.mtf,25,Light,764,calculated,4458073,calculated,Clan,Standard,3068,Jihad,Striker,TR:3050,7,11,6,175,XL Fusion,Standard,Standard,10,Double,Ferro-Fibrous(Clan),Clan Endo Steel,67,3.5,14,4x ER Small Laser; 8x Heavy Machine Gun; 2x Machine Gun Array,
meks-meks-3050u-koshi-mist-lynx-h,meks,Koshi,H,Koshi H,Koshi (Mist Lynx) H.mtf,meks/3050U/Koshi (Mist Lynx) H.mtf,25,Light,967,calculated,4852604,calculated,Clan,Standard,3059,Clan Invasion,Striker,TR:3050,7,11,6,175,XL Fusion,Standard,Standard,10,Double,Ferro-Fibrous(Clan),Clan Endo Steel,67,3.5,5,Streak SRM 6; Anti-Missile System; 2x Heavy Small Laser; Heavy Medium Laser,
meks-meks-rec-guides-ilclan-vol-7-koshi-mist-lynx-i,meks,Koshi,I,Koshi I,Koshi (Mist Lynx) I.mtf,meks/Rec Guides ilClan/Vol 7/Koshi (Mist Lynx) I.mtf,25,Light,689,calculated,4524479,calculated,Clan,Standard,3086,Republic,Striker,RG07,7,11,6,175,XL Fusion,Standard,Standard,10,Double,Ferro-Fibrous(Clan),Clan Endo Steel,67,3.5,6,5x SRM 2; Narc Missile Beacon,
