id,unitType,chassis,model,name,fileName,relativePath,mulId,tonnage,weightClass,bv,bvSource,costCBills,costSource,techBase,rulesLevel,year,era,role,source,walkMP,runMP,jumpMP,engineRating,engineType,gyroType,cockpitType,heatSinkCount,heatSinkType,armorType,structureType,armorPoints,armorTonnage,weaponCount,weaponSummary,warnings
meks-meks-xtrs-risc-scout-tripod-r-h3l-1x,meks,'Scout Tripod',R/H3L-1X,'Scout Tripod' R/H3L-1X,'Scout Tripod' R_H3L-1X.mtf,meks/XTRs/RISC/'Scout Tripod' R_H3L-1X.mtf,,30,Light,1246,calculated,4332250,calculated,Mixed,Advanced,3132,Dark Age,Scout,XTR:RISC,7,11,,210,Light Fusion,Standard Gyro,Tripod Cockpit,10,Double,Ferro-Lamellor(Clan),IS Endo Steel,67,3.35,1,ER PPC,
meks-meks-shrapnel-vol-17-wing-wraith-tr4,meks,'Wing' Wraith,TR4,'Wing' Wraith TR4,Wing Wraith TR4.mtf,meks/Shrapnel/Vol 17/Wing Wraith TR4.mtf,,55,Medium,1301,calculated,17213990,calculated,Inner Sphere,Advanced,3150,Dark Age,,Shrap17,6,12,6,330,XL Fusion,Standard,Standard,13,Double,Ferro-Fibrous (IS),IS Endo-Composite,152,8.48,2,Snub-Nose PPC; Medium VSP Laser,
meks-meks-shrapnel-vol-17-wing-wraith-tr4-x,meks,'Wing' Wraith,TR4-X,'Wing' Wraith TR4-X,Wing Wraith TR4-X.mtf,meks/Shrapnel/Vol 17/Wing Wraith TR4-X.mtf,,55,Medium,1177,calculated,13142011,calculated,Inner Sphere,Advanced,3150,Dark Age,,Shrap17,7,11,7,385,XL Fusion,Standard,Standard,10,Double,Ferro-Fibrous(Inner Sphere),IS Endo-Composite,152,8.48,3,ER Medium Laser; ER Small Laser; Light PPC,
meks-meks-shrapnel-vol-17-wing-wraith-tr6,meks,'Wing' Wraith,TR6,'Wing' Wraith TR6,Wing Wraith TR6.mtf,meks/Shrapnel/Vol 17/Wing Wraith TR6.mtf,,55,Medium,1529,calculated,17206240,calculated,Inner Sphere,Advanced,3150,Dark Age,,Shrap17,6,12,6,330,XL Fusion,Standard,Standard,13,Double,Ferro-Fibrous (IS),IS Endo-Composite,152,8.48,3,Large X-Pulse Laser; 2x Medium X-Pulse Laser,
meks-meks-shrapnel-vol-17-wing-wraith-tr7,meks,'Wing' Wraith,TR7,'Wing' Wraith TR7,Wing Wraith TR7.mtf,meks/Shrapnel/Vol 17/Wing Wraith TR7.mtf,,55,Medium,1966,calculated,12819740,calculated,Mixed,Advanced,3150,Dark Age,,Shrap17,6,9,6,330,XL Fusion,Standard,Standard,13,Double,Stealth (IS),IS Endo-Composite,152,9.5,3,ER PPC; 2x ER Medium Laser,
meks-meks-dark-age-agrotera-agt-1a,meks,Agrotera,AGT-1A,Agrotera AGT-1A,Agrotera AGT-1A.mtf,meks/Dark Age/Agrotera AGT-1A.mtf,6459,50,Medium,1354,calculated,12892500,calculated,Inner Sphere,Advanced,3108,Republic,Striker,TR:3145:CC,6,9,6,300,XL Fusion,XL Gyro,Standard Cockpit,10,Double,Standard(Inner Sphere),IS Endo Steel,152,9.5,6,ER PPC; Medium VSP Laser; Medium Pulse Laser; 2x Small Pulse Laser; TAG,
meks-meks-xtrs-royal-fantasy-agrotera-agt-ua-ariel,meks,Agrotera,AGT-UA 'Ariel',Agrotera AGT-UA 'Ariel',Agrotera AGT-UA _Ariel_.mtf,meks/XTRs/Royal Fantasy/Agrotera AGT-UA _Ariel_.mtf,8365,50,Medium,1695,calculated,11899500,calculated,Mixed,Advanced,3137,Dark Age,Striker,XTR:Royal Fantasy,6,9,,300,XL Fusion,Standard,Standard,10,Double,Standard(Inner Sphere),IS Endo Steel,160,10,4,2x ER Large Laser; 2x ER Medium Laser,
meks-meks-3067-akuma-aku-1x,meks,Akuma,AKU-1X,Akuma AKU-1X,Akuma AKU-1X.mtf,meks/3067/Akuma AKU-1X.mtf,3691,90,Assault,1930,calculated,9232480,calculated,Inner Sphere,Standard,3058,Clan Invasion,Juggernaut,TR:3067,3,5,,270,Standard Fusion,Standard,Standard,13,Double,Standard(Inner Sphere),IS Endo Steel,279,17.44,7,ER PPC; Medium Pulse Laser; Streak SRM 4; Medium Laser; MRM 30; LB 10-X AC; Streak SRM 6,
meks-meks-3067-akuma-aku-1xj,meks,Akuma,AKU-1XJ,Akuma AKU-1XJ,Akuma AKU-1XJ.mtf,meks/3067/Akuma AKU-1XJ.mtf,3692,90,Assault,2203,calculated,9593955,calculated,Inner Sphere,Standard,3064,Civil War,Juggernaut,TR:3067,3,5,3,270,Standard Fusion,Standard,Standard,10,Double,Standard(Inner Sphere),IS Endo Steel,279,17.44,6,ER Large Laser; 2x Medium Pulse Laser; MRM 40; LB 20-X AC; ER Small Laser,
meks-meks-3067-unabridged-is-meks-akuma-aku-2x,meks,Akuma,AKU-2X,Akuma AKU-2X,Akuma AKU-2X.mtf,meks/3067 Unabridged/IS Meks/Akuma AKU-2X.mtf,5713,90,Assault,2088,calculated,11274980,calculated,Inner Sphere,Advanced,3071,Jihad,Juggernaut,RS:3067u,3,5,,270,Standard Fusion,Compact Gyro,Standard,13,Double,Standard Armor,Endo-Steel,279,17.44,5,C3 Computer (Slave); LB 10-X AC; MRM 40; Heavy PPC; Medium Pulse Laser,
