name,chassis,model,techBase,rulesLevel,year,tonnage,expectedBV,expectedCostCBills,source,sourceUrl,notes
Wasp WSP-1A,Wasp,WSP-1A,Inner Sphere,Introductory,2471,20,384,1612320,Mordel unit page,https://mordel.net/tro.php?a=vt&id=134&ut=bm,Introductory light baseline
Locust LCT-1V,Locust,LCT-1V,Inner Sphere,Introductory,2499,20,432,1511200,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory light baseline
Commando COM-2D,Commando,COM-2D,Inner Sphere,Introductory,2486,25,541,1823750,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory missile light
Javelin JVN-10N,Javelin,JVN-10N,Inner Sphere,Introductory,2751,30,594,2330640,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory jumper/light missile platform
Spider SDR-5V,Spider,SDR-5V,Inner Sphere,Introductory,2650,30,622,2984540,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory high-jump test
Panther PNT-9R,Panther,PNT-9R,Inner Sphere,Introductory,2759,35,769,2449260,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory PPC/SRM baseline
Firestarter FS9-H,Firestarter,FS9-H,Inner Sphere,Introductory,2703,35,694,3045600,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory heat/flamer coverage
Cicada CDA-2A,Cicada,CDA-2A,Inner Sphere,Introductory,2740,40,659,3705217,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory fast medium
Clint CLNT-2-4T,Clint,CLNT-2-4T,Inner Sphere,Introductory,3025,40,619,3141880,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory autocannon medium
Crab CRB-20,Crab,CRB-20,Inner Sphere,Introductory,2810,50,1143,3915875,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory energy medium
Enforcer ENF-4R,Enforcer,ENF-4R,Inner Sphere,Introductory,2777,50,1032,3527875,Mordel product listing,https://www.mordel.net/products.php?a=vp&cat=2&id=523,Introductory AC/laser/jump coverage
