name,fileName,relativePath,rulesLevel,techBase,year,tonnage
Wasp WSP-1A,wasp-wsp-1a.txt,server/data/reference/megaMekLabReports/wasp-wsp-1a.txt,Introductory,Inner Sphere,2471,20
Locust LCT-1V,locust-lct-1v.txt,server/data/reference/megaMekLabReports/locust-lct-1v.txt,Introductory,Inner Sphere,2499,20
Commando COM-2D,commando-com-2d.txt,server/data/reference/megaMekLabReports/commando-com-2d.txt,Introductory,Inner Sphere,2486,25
Javelin JVN-10N,javelin-jvn-10n.txt,server/data/reference/megaMekLabReports/javelin-jvn-10n.txt,Introductory,Inner Sphere,2751,30
Spider SDR-5V,spider-sdr-5v.txt,server/data/reference/megaMekLabReports/spider-sdr-5v.txt,Introductory,Inner Sphere,2650,30
Panther PNT-9R,panther-pnt-9r.txt,server/data/reference/megaMekLabReports/panther-pnt-9r.txt,Introductory,Inner Sphere,2759,35
Firestarter FS9-H,firestarter-fs9-h.txt,server/data/reference/megaMekLabReports/firestarter-fs9-h.txt,Introductory,Inner Sphere,2703,35
Cicada CDA-2A,cicada-cda-2a.txt,server/data/reference/megaMekLabReports/cicada-cda-2a.txt,Introductory,Inner Sphere,2740,40
Clint CLNT-2-4T,clint-clnt-2-4t.txt,server/data/reference/megaMekLabReports/clint-clnt-2-4t.txt,Introductory,Inner Sphere,3025,40
Crab CRB-20,crab-crb-20.txt,server/data/reference/megaMekLabReports/crab-crb-20.txt,Introductory,Inner Sphere,2810,50
Enforcer ENF-4R,enforcer-enf-4r.txt,server/data/reference/megaMekLabReports/enforcer-enf-4r.txt,Introductory,Inner Sphere,2777,50
Shadow Hawk SHD-2H,shadow-hawk-shd-2h.txt,server/data/reference/megaMekLabReports/shadow-hawk-shd-2h.txt,Introductory,Inner Sphere,2550,55
Griffin GRF-1N,griffin-grf-1n.txt,server/data/reference/megaMekLabReports/griffin-grf-1n.txt,Introductory,Inner Sphere,2492,55
Dragon DRG-1N,dragon-drg-1n.txt,server/data/reference/megaMekLabReports/dragon-drg-1n.txt,Introductory,Inner Sphere,2754,60
JagerMech JM6-S,jagermech-jm6-s.txt,server/data/reference/megaMekLabReports/jagermech-jm6-s.txt,Introductory,Inner Sphere,2774,65
Thunderbolt TDR-5S,thunderbolt-tdr-5s.txt,server/data/reference/megaMekLabReports/thunderbolt-tdr-5s.txt,Introductory,Inner Sphere,2505,65
Grasshopper GHR-5H,grasshopper-ghr-5h.txt,server/data/reference/megaMekLabReports/grasshopper-ghr-5h.txt,Introductory,Inner Sphere,2780,70
Orion ON1-K,orion-on1-k.txt,server/data/reference/megaMekLabReports/orion-on1-k.txt,Introductory,Inner Sphere,2525,75
Stalker STK-3F,stalker-stk-3f.txt,server/data/reference/megaMekLabReports/stalker-stk-3f.txt,Introductory,Inner Sphere,2594,85
Longbow LGB-0W2,longbow-lgb-0w2.txt,server/data/reference/megaMekLabReports/longbow-lgb-0w2.txt,Introductory,Inner Sphere,2531,85
Archer ARC-9M,archer-arc-9m.txt,server/data/reference/megaMekLabReports/archer-arc-9m.txt,Standard,Inner Sphere,3076,70
BattleMaster BLR-2C,battlemaster-blr-2c.txt,server/data/reference/megaMekLabReports/battlemaster-blr-2c.txt,Advanced,Inner Sphere,2925,85
Crusader CRD-7L,crusader-crd-7l.txt,server/data/reference/megaMekLabReports/crusader-crd-7l.txt,Standard,Inner Sphere,3067,65
Goliath GOL-6M,goliath-gol-6m.txt,server/data/reference/megaMekLabReports/goliath-gol-6m.txt,Advanced,Inner Sphere,3083,80
Griffin IIC,griffin-iic.txt,server/data/reference/megaMekLabReports/griffin-iic.txt,Standard,Clan,2852,40
Locust IIC 9,locust-iic-9.txt,server/data/reference/megaMekLabReports/locust-iic-9.txt,Advanced,Clan,3085,25
Marauder II MAD-6M,marauder-ii-mad-6m.txt,server/data/reference/megaMekLabReports/marauder-ii-mad-6m.txt,Advanced,Inner Sphere,3078,100
Marauder IIC 4,marauder-iic-4.txt,server/data/reference/megaMekLabReports/marauder-iic-4.txt,Standard,Clan,3070,85
Ostscout OTT-10CS,ostscout-ott-10cs.txt,server/data/reference/megaMekLabReports/ostscout-ott-10cs.txt,Standard,Inner Sphere,3071,35
Phoenix Hawk PXH-4L,phoenix-hawk-pxh-4l.txt,server/data/reference/megaMekLabReports/phoenix-hawk-pxh-4l.txt,Advanced,Inner Sphere,3066,45
Rifleman RFL-9T,rifleman-rfl-9t.txt,server/data/reference/megaMekLabReports/rifleman-rfl-9t.txt,Standard,Inner Sphere,3071,60
Rifleman IIC 5,rifleman-iic-5.txt,server/data/reference/megaMekLabReports/rifleman-iic-5.txt,Standard,Clan,3069,65
Hellion D,hellion-d.txt,server/data/reference/megaMekLabReports/hellion-d.txt,Standard,Clan,3068,30
Masakari (Warhawk) I,masakari-i.txt,server/data/reference/megaMekLabReports/masakari-i.txt,Standard,Clan,3050,85
Mastodon B,mastodon-b.txt,server/data/reference/megaMekLabReports/mastodon-b.txt,Standard,Clan,3148,95
Shadow Hawk IIC 11,shadow-hawk-iic-11.txt,server/data/reference/megaMekLabReports/shadow-hawk-iic-11.txt,Advanced,Clan,3141,45
Grendel (Mongrel) G,grendel-g.txt,server/data/reference/megaMekLabReports/grendel-g.txt,Standard,Clan,3090,45
Sidewinder PRIME,sidewinder-prime.txt,server/data/reference/megaMekLabReports/sidewinder-prime.txt,Standard,Clan,3049,75
