unitName,fileName,relativePath,rulesLevel,techBase,year,tonnage,expectedBV,expectedCostCBills,parseStatus
Archer ARC-9M,archer-arc-9m.txt,archer-arc-9m.txt,Standard,Inner Sphere,3076,70,1811,11371640,OK
BattleMaster BLR-2C,battlemaster-blr-2c.txt,battlemaster-blr-2c.txt,Advanced,Inner Sphere,2925,85,1563,9894293,OK
Cicada CDA-2A,cicada-cda-2a.txt,cicada-cda-2a.txt,Introductory,Inner Sphere,2740,40,659,3705217,OK
Clint CLNT-2-4T,clint-clnt-2-4t.txt,clint-clnt-2-4t.txt,Introductory,Inner Sphere,3025,40,619,3141880,OK
Commando COM-2D,commando-com-2d.txt,commando-com-2d.txt,Introductory,Inner Sphere,2486,25,541,1823750,OK
Crab CRB-20,crab-crb-20.txt,crab-crb-20.txt,Introductory,Inner Sphere,2810,50,1143,3921875,OK
Crusader CRD-7L,crusader-crd-7l.txt,crusader-crd-7l.txt,Standard,Inner Sphere,3067,65,1749,6277260,OK
Dragon DRG-1N,dragon-drg-1n.txt,dragon-drg-1n.txt,Introductory,Inner Sphere,2754,60,1125,4934080,OK
Enforcer ENF-4R,enforcer-enf-4r.txt,enforcer-enf-4r.txt,Introductory,Inner Sphere,2777,50,1032,3527875,OK
Firestarter FS9-H,firestarter-fs9-h.txt,firestarter-fs9-h.txt,Introductory,Inner Sphere,2703,35,694,3045600,OK
Goliath GOL-6M,goliath-gol-6m.txt,goliath-gol-6m.txt,Advanced,Inner Sphere,3083,80,1742,8710200,OK
Grasshopper GHR-5H,grasshopper-ghr-5h.txt,grasshopper-ghr-5h.txt,Introductory,Inner Sphere,2780,70,1427,5973573,OK
Grendel (Mongrel) G,grendel-g.txt,grendel-g.txt,Standard,Clan,3090,45,2209,18363978,OK
Griffin GRF-1N,griffin-grf-1n.txt,griffin-grf-1n.txt,Introductory,Inner Sphere,2492,55,1272,4864107,OK
Griffin IIC,griffin-iic.txt,griffin-iic.txt,Standard,Clan,2852,40,1608,4171510,OK
Hellion D,hellion-d.txt,hellion-d.txt,Standard,Clan,3068,30,1761,6561425,OK
JagerMech JM6-S,jagermech-jm6-s.txt,jagermech-jm6-s.txt,Introductory,Inner Sphere,2774,65,901,5215925,OK
Javelin JVN-10N,javelin-jvn-10n.txt,javelin-jvn-10n.txt,Introductory,Inner Sphere,2751,30,594,2330640,OK
Locust IIC 9,locust-iic-9.txt,locust-iic-9.txt,Advanced,Clan,3085,25,1133,17978333,OK
Locust LCT-1V,locust-lct-1v.txt,locust-lct-1v.txt,Introductory,Inner Sphere,2499,20,432,1511200,OK
Longbow LGB-0W2,longbow-lgb-0w2.txt,longbow-lgb-0w2.txt,Introductory,Inner Sphere,2531,85,1410,8321608,OK
Marauder II MAD-6M,marauder-ii-mad-6m.txt,marauder-ii-mad-6m.txt,Advanced,Inner Sphere,3078,100,2218,29329333,OK
Marauder IIC 4,marauder-iic-4.txt,marauder-iic-4.txt,Standard,Clan,3070,85,3447,21239233,OK
Masakari (Warhawk) I,masakari-i.txt,masakari-i.txt,Standard,Clan,3050,85,3026,25948948,OK
Mastodon B,mastodon-b.txt,mastodon-b.txt,Standard,Clan,3148,95,2793,29039156,OK
Orion ON1-K,orion-on1-k.txt,orion-on1-k.txt,Introductory,Inner Sphere,2525,75,1429,6501250,OK
Ostscout OTT-10CS,ostscout-ott-10cs.txt,ostscout-ott-10cs.txt,Standard,Inner Sphere,3071,35,862,9449100,OK
Panther PNT-9R,panther-pnt-9r.txt,panther-pnt-9r.txt,Introductory,Inner Sphere,2759,35,769,2449260,OK
Phoenix Hawk PXH-4L,phoenix-hawk-pxh-4l.txt,phoenix-hawk-pxh-4l.txt,Advanced,Inner Sphere,3066,45,1282,7756340,OK
Rifleman IIC 5,rifleman-iic-5.txt,rifleman-iic-5.txt,Standard,Clan,3069,65,2343,6433350,OK
Rifleman RFL-9T,rifleman-rfl-9t.txt,rifleman-rfl-9t.txt,Standard,Inner Sphere,3071,60,1503,6436800,OK
Shadow Hawk IIC 11,shadow-hawk-iic-11.txt,shadow-hawk-iic-11.txt,Advanced,Clan,3141,45,1692,5302578,OK
Shadow Hawk SHD-2H,shadow-hawk-shd-2h.txt,shadow-hawk-shd-2h.txt,Introductory,Inner Sphere,2550,55,1064,4444057,OK
Sidewinder PRIME,sidewinder-prime.txt,sidewinder-prime.txt,Standard,Clan,3049,75,3073,22724297,OK
Spider SDR-5V,spider-sdr-5v.txt,spider-sdr-5v.txt,Introductory,Inner Sphere,2650,30,622,2984540,OK
Stalker STK-3F,stalker-stk-3f.txt,stalker-stk-3f.txt,Introductory,Inner Sphere,2594,85,1559,7252925,OK
Thunderbolt TDR-5S,thunderbolt-tdr-5s.txt,thunderbolt-tdr-5s.txt,Introductory,Inner Sphere,2505,65,1335,5268560,OK
Wasp WSP-1A,wasp-wsp-1a.txt,wasp-wsp-1a.txt,Introductory,Inner Sphere,2471,20,384,1614240,OK
