Category,Item,SeverityKey,SeverityLabel,SkillModifier,TimeMinutes
Replacement,Destroyed Location,,,3,240
Replacement,Reattach/Replace Blown-Off Limb,,,1,180
Replacement,Replace Blown-Off Head,,,2,200
Replacement,Actuator,,,-3,90
Replacement,Armor,perArmorPoint,Per Armor Point,-2,5
Replacement,Ammunition Critical,,,-2,120
Replacement,CASE/CASE II,,,-1,60
Replacement,Engine,,,-1,360
Replacement,Gyro,,,0,200
Replacement,Heat Sink,,,-2,90
Replacement,Jump Jet,,,0,60
Replacement,Life Support,,,-1,180
Replacement,Sensors,,,0,260
Replacement,Turret,,,-1,160
Replacement,Weapons and Other Equipment,,,0,120
Replacement,OmniMech Pod,perLocation,Per Location,-2,30
Repair,Internal Structure,25,Up To 1/4 Damage,-1,90
Repair,Internal Structure,50,Up To 1/2 Damage,0,135
Repair,Internal Structure,75,Up To 3/4 Damage,1,180
Repair,Internal Structure,100,More Than 3/4 Damage,2,270
Repair,Engine,1,1 Critical Hit,-1,100
Repair,Engine,2,2 Critical Hits,0,200
Repair,Engine,3,3 Critical Hits,2,300
Repair,Sensors,1,1 Critical Hit,0,75
Repair,Sensors,2,2 Critical Hits,3,150
Repair,Gyro,1,1 Critical Hit,1,120
Repair,Gyro,2,2 Critical Hits,4,240
Repair,Life Support,1,1 Critical Hit,-1,60
Repair,Life Support,2,2 Critical Hits,1,120
Repair,Jump Jet,,,0,90
Repair,Turret Locked,,,-1,80
Repair,Heat Sink,,,-1,120
Repair,Actuator,,,0,120
Repair,Hull Breach,perLocation,Per Location,0,60
Repair,Weapons and Other Equipment,1,1 Critical Hit,-3,100
Repair,Weapons and Other Equipment,2,2 Critical Hits,-2,150
Repair,Weapons and Other Equipment,3,3 Critical Hits,0,200
Repair,Weapons and Other Equipment,4,4+ Critical Hits,2,250
Reload,Ammo Reload,perSlotBin,Per Slot/Bin,0,10
